Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.530,7,0,40.543
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.959
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.880,6,0,22.585
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.618
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.797
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.040
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.920,4,0,11.721
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.876
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.360,3,0.2,-3.839
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.817
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.602
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.099
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.074
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.960,5,0.2,67.992
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.960,2,0,10.910
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.960,2,0,22.788
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.240,6,0,13.348
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.535
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.720,2,0.2,1.652
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.493
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.032
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.530,3,0,165.381
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.716
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.040,3,0,18.346
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.840,4,0,13.878
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.560,6,0,63.437
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.020,9,0,51.759
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.040,7,0,19.732
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.579
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.700,6,0.5,-407.682
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.831
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.160
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.560,3,0,26.242
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.970,5,0.4,-11.994
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.973
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.040,3,0,9.619
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.440,1,0,16.657
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.520,4,0,3.456
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.020,2,0,1.970
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.662
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.880,6,0,18.446
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.120,14,0,20.698
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.800,2,0.2,10.350
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.820,3,0,2.381
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.860,3,0,5.104
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.700,3,0,68.976
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.430,3,0,218.252
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.930,7,0,20.158
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.910
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.450,11,0,103.802
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.970,3,0,5.999
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.840,8,0,585.552
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.550,5,0,80.629
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.920,5,0.2,17.766
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.239
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.380,7,0,26.271
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.520,4,0,48.539
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.880,6,0,21.029
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.630,3,0,1.790
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.476
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.620,2,0,6.871
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.930,7,0,236.233
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.980,1,0,2.691
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.360
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.400,5,0,13.348
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.680,2,0.2,9.688
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.732
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.952,8,0.4,-1359.992
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928,3,0.2,-58.635
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.060,9,0.3,-24.858
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.814
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.980,5,0.8,-453.849
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,143.976,3,0.2,8.999
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.940,3,0,9.842
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.960,2,0,53.261
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.144,7,0.2,21.259
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.448,2,0.8,-131.120
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.160,4,0.2,6.552
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.264,4,0.8,-243.160
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396.802,7,0.3,-11.337
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,15.880,5,0.2,-3.772
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.280,1,0,1.410
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.816,2,0.2,1.861
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,408.744,7,0.2,76.640
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,503.960,4,0,131.030
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,149.950,5,0,41.986
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29.000,2,0,7.250
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.160,2,0,3.437
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.800,8,0,22.984
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37.224,3,0.2,3.722
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20.016,3,0.2,6.255
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,899.136,4,0.2,112.392
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,71.760,6,0,20.093
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,51.840,8,0,24.883
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,626.352,3,0.2,46.976
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,19.900,5,0,6.567
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,14.280,7,0,6.712
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,7.408,2,0.2,1.204
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,6.048,3,0.2,1.588
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.260,3,0,12.028
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2.946,2,0.7,-2.259
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.056,3,0.2,5.820
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,21.744,3,0.2,6.795
First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables,218.750,2,0.5,-161.875
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,2.600,1,0.2,0.293
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.284,2,0.8,-178.967
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.168,7,0.2,9.671
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,444.768,4,0.2,44.477
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,83.920,4,0,5.874
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones,131.980,2,0,35.635
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders,15.920,4,0,7.482
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners,52.290,9,0,16.210
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.990,1,0,3.680
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories,20.800,2,0.2,6.500
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,Labels,23.680,2,0.2,8.880
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases,452.450,5,0.5,-244.323
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Phones,62.982,3,0.4,-14.696
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Machines,1188.000,9,0.7,-950.400
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Accessories,89.584,2,0.2,4.479
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Storage,93.060,6,0,26.057
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,302.376,3,0.2,22.678
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Fasteners,5.584,2,0.2,1.815
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Paper,22.704,6,0.2,8.230
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Binders,19.776,4,0.7,-13.843
First Class,Consumer,United States,Dublin,Ohio,43017,East,Furniture,Furnishings,72.704,4,0.2,19.085
First Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,Machines,479.988,4,0.7,-383.990
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Art,27.168,2,0.2,2.717
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,2.200,1,0,0.968
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Furniture,Tables,622.450,5,0,136.939
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Storage,21.980,1,0,0.220
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,161.568,2,0.2,-28.274
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,389.696,8,0.2,43.841
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders,18.648,7,0.7,-12.432
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,233.860,2,0.45,-102.048
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,620.615,3,0.45,-248.246
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,5.328,2,0.7,-3.552
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Furnishings,258.072,3,0.2,0.000
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Technology,Accessories,617.976,3,0.2,-7.725
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,10.560,2,0,4.752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,25.920,5,0.2,9.396
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.680,5,0.6,-356.728
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,11.688,3,0.6,-4.675
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,31.984,2,0.2,11.194
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,177.225,5,0.5,-120.513
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,4.044,3,0.6,-2.831
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.408,2,0.2,1.204
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,2001.860,7,0,580.539
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Storage,166.720,2,0,41.680
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,47.880,6,0,23.940
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,1503.250,5,0,496.073
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,25.920,4,0,12.442
Second Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Chairs,321.568,2,0.2,28.137
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,7.610,1,0,3.577
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Accessories,3347.370,13,0,636.000
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,80.580,6,0,22.562
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Envelopes,361.920,4,0,162.864
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,12.132,9,0.6,-8.492
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,82.368,2,0.2,-19.562
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,53.920,5,0.2,4.044
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Phones,647.904,6,0.2,56.692
Second Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,20.370,3,0,6.926
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Storage,221.550,3,0,6.647
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,17.520,5,0.2,6.132
Standard Class,Corporate,United States,Pasadena,Texas,77506,Central,Office Supplies,Appliances,1.624,2,0.8,-4.466
Second Class,Corporate,United States,Houston,Texas,77036,Central,Technology,Machines,3059.982,3,0.4,-509.997
Second Class,Corporate,United States,Houston,Texas,77036,Central,Technology,Machines,2519.958,7,0.4,-251.996
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,328.224,4,0.2,28.720
